Date,Glucose
1991-03-01 08:00:00,
1991-03-01 12:00:00,-36.0
1991-03-01 18:00:00,-43.0
1991-03-01 22:00:00,29.75
1991-03-02 08:00:00,14.449999999999989
1991-03-02 12:00:00,3.3000000000000114
1991-03-02 18:00:00,-20.64285714285711
1991-03-02 22:00:00,7.89285714285711
1991-03-03 08:00:00,6.138888888888886
1991-03-03 12:00:00,-13.788888888888891
1991-03-03 18:00:00,-21.19999999999999
1991-03-03 22:00:00,21.19999999999999
1991-03-04 08:00:00,24.400000000000006
1991-03-04 12:00:00,-16.099999999999994
1991-03-04 18:00:00,-18.30000000000001
1991-03-04 22:00:00,1.4000000000000057
1991-03-05 08:00:00,21.5
1991-03-05 12:00:00,-20.30000000000001
1991-03-05 18:00:00,-24.799999999999983
1991-03-05 22:00:00,21.099999999999994
1991-03-06 08:00:00,11.599999999999994
1991-03-06 12:00:00,-36.099999999999994
1991-03-06 18:00:00,-17.5
1991-03-06 22:00:00,4.0
1991-03-07 08:00:00,17.900000000000006
1991-03-07 12:00:00,-10.300000000000011
1991-03-07 18:00:00,-24.400000000000006
1991-03-07 22:00:00,12.100000000000023
1991-03-08 08:00:00,25.299999999999983
1991-03-08 12:00:00,-9.400000000000006
1991-03-08 18:00:00,7.600000000000023
1991-03-08 22:00:00,15.799999999999983
1991-03-09 08:00:00,11.599999999999994
1991-03-09 12:00:00,4.700000000000017
1991-03-09 18:00:00,-3.4000000000000057
1991-03-09 22:00:00,2.0
1991-03-10 08:00:00,12.300000000000011
1991-03-10 12:00:00,1.1999999999999886
1991-03-10 18:00:00,-11.0
1991-03-10 22:00:00,-5.5
1991-03-11 08:00:00,-5.099999999999994
1991-03-11 12:00:00,-5.200000000000017
1991-03-11 18:00:00,-15.199999999999989
1991-03-11 22:00:00,-15.099999999999994
1991-03-12 08:00:00,11.099999999999994
1991-03-12 12:00:00,8.5
1991-03-12 18:00:00,-0.19999999999998863
1991-03-12 22:00:00,-10.900000000000006
1991-03-13 08:00:00,17.400000000000006
